AlteryxKey,PointOrder,Longitude,Latitude,Port
1,1,4.073153,51.973264,Rotterdam
1,2,2.590027,51.421477,unknown
1,3,1.408997,50.916887,unknown
1,4,0.738831,50.614617,unknown
1,5,-0.019226,50.366489,unknown
1,6,-0.667419,50.194485,unknown
1,7,-1.557312,50.004209,unknown
1,8,-2.930603,49.692508,unknown
1,9,-4.174805,49.351967,unknown
1,10,-5.465698,48.987427,unknown
1,11,-6.553345,48.476563,unknown
1,12,-7.822266,47.598755,unknown
1,13,-9.382324,46.456781,unknown
1,14,-10.50293,45.274886,unknown
1,15,-11.304932,43.779027,unknown
1,16,-11.777344,41.631867,unknown
1,17,-11.953125,39.639538,unknown
1,18,-11.78833,39.053318,unknown
1,19,-11.469727,38.496594,unknown
1,20,-10.909424,37.944198,unknown
1,21,-9.942627,37.326489,unknown
1,22,-8.789063,36.791691,unknown
1,23,-7.965088,36.500805,unknown
1,24,-6.932373,36.235412,unknown
1,25,-6.04248,36.049099,unknown
1,26,-5.652466,35.973561,unknown
1,27,-5.19928,35.982451,unknown
1,28,-4.474182,36.033553,unknown
1,29,-3.317871,36.111253,unknown
1,30,-2.092896,36.266421,unknown
1,31,-1.09314,36.483141,unknown
1,32,0.527344,37.020098,unknown
1,33,1.856689,37.422526,unknown
1,34,3.213501,37.805444,unknown
1,35,4.504395,37.961523,unknown
1,36,5.74585,38.017804,unknown
1,37,8.464966,38.069717,unknown
1,38,9.986572,37.970185,unknown
1,39,11.425781,37.71859,unknown
1,40,12.337646,37.291535,unknown
1,41,13.52417,36.650793,unknown
1,42,14.458008,36.297418,unknown
1,43,15.292969,36.093499,unknown
1,44,16.314697,35.85344,unknown
1,45,18.533936,35.335293,unknown
1,46,21.09375,34.741612,unknown
1,47,22.434082,34.452218,unknown
1,48,24.686279,33.979809,unknown
1,49,27.246094,33.431441,unknown
1,50,28.674316,32.99945,unknown
1,51,29.443359,32.704111,unknown
1,52,30.629883,32.25462,unknown
1,53,31.37146,31.886887,unknown
1,54,32.080078,31.611288,unknown
1,55,32.34375,31.302022,unknown
1,56,32.365723,30.342065,unknown
1,57,32.566223,30.221102,unknown
